id,wegklasse,hoogteniveau,straatnaam,indicatie_voet_fiets,indicatie_brug,indicatie_tunnel,indicatie_ov_bus,indicatie_spoor,indicatie_toegankelijkheid,type_veer_route,minimum_breedte,maximum_breedte,gewogen_gemiddelde_breedte,weight,maximum_snelheid,start_node_id,end_node_id,datum_extractie,geometrie,geometrie_epsg_4326
571874,osm_platform,0,,True,False,False,False,False,False,,,,,15.78,0.0,590864,591725,2023-07-25,"SRID=28992;LINESTRING(118909.755244554 487995.768727288,118916.297619997 487981.407234392)","[(52.378642044302545, 4.857173279719709), (52.378513404145494, 4.857270901194992)]"
571875,osm_platform,0,,True,False,False,False,False,False,,,,,5.43,0.0,353934,353946,2023-07-25,"SRID=28992;LINESTRING(117227.817157995 488120.011654125,117233.080712275 488118.672311339)","[(52.37964550414616, 4.832459001170274), (52.379633829303394, 4.832536452025803)]"
571877,osm_platform,0,,True,False,False,False,False,False,,,,,30.65,0.0,589981,589970,2023-07-25,"SRID=28992;LINESTRING(118999.87296563 487538.558892841,119005.005242777 487508.345368062)","[(52.37453890414308, 4.858545701196079), (52.37426770414294, 4.858624301196137)]"
571879,osm_platform,0,,True,False,False,False,False,False,,,,,12.05,0.0,590078,590077,2023-07-25,"SRID=28992;LINESTRING(119004.625682864 487569.278910918,119002.482530047 487581.133501001)","[(52.3748153041433, 4.85861220119616), (52.37492170378469, 4.858579460461637)]"
571880,osm_platform,0,,True,False,False,False,False,False,,,,,5.41,0.0,590077,590084,2023-07-25,"SRID=28992;LINESTRING(119002.482530047 487581.133501001,119001.520263104 487586.456163983)","[(52.37492170378469, 4.858579460461637), (52.374969476789396, 4.858564759952912)]"
571881,osm_platform,0,,True,False,False,False,False,False,,,,,58.1,0.0,353946,358431,2023-07-25,"SRID=28992;LINESTRING(117233.080712275 488118.672311339,117280.024093986 488106.727287821,117289.359445698 488104.230112134)","[(52.379633829303394, 4.832536452025803), (52.37952970414607, 4.833227201171033), (52.379507902812186, 4.833364579633187)]"
571883,osm_platform,0,,True,False,False,False,False,False,,,,,18.25,0.0,590084,590083,2023-07-25,"SRID=28992;LINESTRING(119001.520263104 487586.456163983,118998.274212348 487604.411300366)","[(52.374969476789396, 4.858564759952912), (52.37513063122033, 4.8585151699468145)]"
571884,osm_platform,0,,True,False,False,False,False,False,,,,,12.93,0.0,366612,366618,2023-07-25,"SRID=28992;LINESTRING(117638.533910015 489116.783703307,117651.460588724 489116.596796998)","[(52.388631804151416, 4.838379901176625), (52.38863100415144, 4.838569801176816)]"
571885,osm_platform,0,,True,False,False,False,False,False,,,,,1.72,0.0,590083,590082,2023-07-25,"SRID=28992;LINESTRING(118998.274212348 487604.411300366,118998.151888573 487605.087919505,118997.968608232 487606.101802504)","[(52.37513063122033, 4.8585151699468145), (52.375136704143415, 4.858513301196073), (52.37514580414344, 4.858510501196069)]"
571886,osm_platform,0,,True,False,False,False,False,False,,,,,3.28,0.0,358431,358432,2023-07-25,"SRID=28992;LINESTRING(117289.359445698 488104.230112134,117292.527545948 488103.382655802)","[(52.379507902812186, 4.833364579633187), (52.37950050414605, 4.833411201171212)]"
